emp_id,gender,dept,total_months,working_days,absent_days,total_leaves,previous_salary,performance_rating,current_salary,is_risk
1071,Female,Ops,75,20.0,2.0,0,48332.0,6,52269.44295736575,0
1072,Female,HR,116,20.0,8.0,2,42189.0,8,44281.3989623535,0
1073,Male,HR,115,20.0,1.0,13,131519.0,5,133050.90982889067,0
1074,Female,Finance,17,23.0,1.0,10,41060.0,6,47553.33505257978,0
1075,Male,Ops,55,24.0,2.0,12,82793.0,1,75792.11027416521,1
1076,Female,Sales,60,23.0,8.0,1,117643.0,2,114131.59513181837,1
1077,Female,Tech,46,20.0,0.0,7,102731.0,3,107963.45516903425,0
1078,Female,Finance,63,21.0,0.0,6,99542.0,2,120218.26233611183,1
1079,Male,Sales,48,22.0,2.0,10,140297.0,2,148817.2891626361,1
1080,Female,Ops,62,21.0,2.0,12,93978.0,8,95083.83470438438,0
1081,Male,Sales,116,24.0,1.0,9,120949.0,3,124997.9719956896,0
1082,Female,Tech,16,24.0,2.0,8,117135.0,7,129035.31231901186,0
1083,Male,Sales,107,23.0,3.0,4,76567.0,9,94823.38513111413,0
1084,Female,Tech,65,22.0,6.0,2,76269.0,7,79387.05238310002,0
1085,Male,Tech,48,20.0,2.0,11,133935.0,8,173263.08909937888,0
1086,Male,Tech,54,20.0,9.0,3,93127.0,10,115446.61763763285,0
1087,Female,,62,21.0,0.0,0,94302.0,4,118921.86903538258,0
1088,Male,Ops,6,22.0,7.0,0,127222.0,8,129555.06501958528,0
1089,Female,HR,79,23.0,8.0,0,103662.0,4,115955.57527816725,0
1090,Female,HR,33,,8.0,14,142700.0,6,,0
1091,Female,Sales,71,24.0,1.0,2,98612.0,1,89028.15513464123,1
1092,Female,Ops,72,20.0,3.0,3,120064.0,7,,0
1093,Female,HR,117,22.0,3.0,7,35586.0,4,43621.599290649174,0
1094,Female,Tech,42,25.0,7.0,5,110586.0,8,100078.17205970497,0
1095,Female,Sales,30,24.0,3.0,9,78286.0,1,88872.55530299777,1
1096,Female,Sales,7,23.0,6.0,5,141234.0,4,165276.96115679128,0
1097,Female,Finance,40,20.0,7.0,4,74443.0,6,83533.47467417964,0
1098,Female,Finance,61,24.0,1.0,5,115919.0,7,137602.74729369555,0
1099,Female,Finance,109,23.0,4.0,10,,5,35568.38536975337,0
1100,Male,Ops,14,22.0,0.0,7,124506.0,1,124338.47459433558,1
1101,Male,Sales,61,25.0,4.0,13,107399.0,1,123875.37731209914,1
1102,Female,Finance,64,23.0,2.0,9,133334.0,3,149739.8049411196,0
1103,Female,Sales,55,23.0,0.0,7,,1,51668.225425153156,1
1104,Female,Tech,67,24.0,7.0,0,66644.0,2,72608.44578840086,1
1105,Female,Finance,90,20.0,7.0,14,144147.0,9,143641.9176459836,0
1106,Female,Sales,44,24.0,1.0,2,45615.0,5,41924.21014221307,0
1107,Female,Ops,58,21.0,6.0,10,50004.0,1,57025.529022135874,1
1108,Female,Ops,34,24.0,1.0,13,49974.0,8,64428.199301560555,0
1109,Female,Ops,94,24.0,7.0,1,78917.0,8,73760.55247121464,0
1110,Male,Finance,94,20.0,2.0,3,64639.0,4,60443.90699538926,0
1111,Female,Ops,57,25.0,9.0,7,69183.0,6,83805.06203050415,0
1112,Male,HR,29,22.0,0.0,5,69593.0,3,89256.17675275257,0
1113,Female,Tech,37,21.0,4.0,9,96050.0,9,102559.4527651137,0
1114,Female,Sales,108,20.0,8.0,11,138466.0,1,151325.03492972767,1
1115,Male,HR,89,25.0,4.0,14,31761.0,4,29445.919300684716,0
1116,Female,Finance,68,20.0,7.0,12,111594.0,8,118094.85295787548,0
1117,Male,Sales,62,23.0,4.0,12,41272.0,5,43349.02584342584,0
1118,Female,Sales,1,21.0,4.0,3,112476.0,6,107136.42883145197,0
1119,Female,Ops,72,23.0,9.0,12,83168.0,6,,0
1120,Male,Sales,117,23.0,6.0,5,31655.0,3,31747.841106618027,0
1121,Female,Sales,52,20.0,2.0,3,60722.0,4,73489.44506936055,0
1122,Male,Tech,57,22.0,7.0,14,97695.0,1,90793.75828111776,1
1123,Female,Finance,57,20.0,4.0,11,129609.0,3,118679.0272376769,0
1124,Male,,66,24.0,3.0,9,90505.0,5,104148.03072850956,0
1125,Male,Ops,81,22.0,8.0,0,70112.0,7,74328.78333256251,0
1126,Female,Tech,105,21.0,1.0,4,45311.0,2,46321.84344262204,1
1127,Female,HR,61,22.0,2.0,1,58629.0,9,53828.75270333409,0
1128,Male,HR,52,21.0,3.0,9,126621.0,9,153581.92524314806,0
1129,Female,Tech,107,23.0,1.0,13,,8,123396.8907954235,0
1130,Female,Ops,49,20.0,0.0,13,123777.0,1,144360.87763035877,1
1131,Female,Finance,23,20.0,9.0,14,122447.0,6,151194.67187008783,0
1132,Male,Tech,85,24.0,4.0,10,38150.0,2,35764.54888835468,1
1133,Male,Tech,93,20.0,7.0,6,85164.0,8,80605.67043532147,0
1134,Male,Tech,69,22.0,4.0,12,40923.0,10,48520.502478359194,0
1135,Male,Ops,96,24.0,9.0,4,89423.0,7,110333.66639773648,0
1136,Male,Tech,21,20.0,6.0,8,134224.0,3,135095.14964496344,0
1137,Male,Tech,58,24.0,9.0,4,100585.0,6,97574.64903478898,0
1138,Male,Sales,9,20.0,9.0,1,97440.0,3,93604.0721757419,0
1139,Male,Sales,71,20.0,2.0,9,32451.0,6,30592.451507437323,0
1140,Male,Sales,82,25.0,9.0,14,40071.0,3,43285.992258568054,0
1141,Female,Sales,79,23.0,0.0,10,81518.0,5,94778.63599034592,0
1142,Male,,58,25.0,0.0,11,140007.0,3,142274.35168193054,0
1143,Female,Sales,89,20.0,8.0,8,99304.0,4,119296.8031201516,0
1144,Female,HR,48,20.0,9.0,5,141357.0,9,144306.46038030423,0
1145,Female,Finance,80,22.0,8.0,0,111617.0,5,128506.56870623364,0
1146,Male,Sales,61,21.0,4.0,3,112741.0,9,,0
1147,Male,Ops,84,22.0,6.0,7,,5,88849.33262602855,0
1148,Male,Finance,109,24.0,5.0,9,102146.0,2,96353.55923759437,1
1149,Male,,37,,8.0,0,96936.0,1,117799.71983836709,1
1150,Female,Finance,98,20.0,4.0,4,77560.0,9,71326.9212010658,0
1151,Male,Finance,115,20.0,2.0,12,100462.0,8,97234.7857721565,0
1152,Male,,5,23.0,0.0,5,96961.0,3,107473.06726731251,0
1153,Male,Sales,33,20.0,1.0,7,129681.0,7,128187.74953119359,0
1154,Male,HR,65,22.0,9.0,2,66472.0,2,71477.05417977722,1
1155,Male,Ops,112,22.0,7.0,2,136283.0,1,138626.79262946104,1
1156,Female,HR,113,22.0,1.0,13,56948.0,3,55938.624141950546,0
1157,Male,Tech,7,22.0,2.0,8,85700.0,4,86536.65434778355,0
1158,Female,Tech,42,21.0,7.0,3,30958.0,7,28973.369372331283,0
1159,Male,Finance,60,25.0,1.0,5,103049.0,4,93942.01217663835,0
1160,Female,Sales,4,22.0,3.0,1,68773.0,6,70703.79818670884,0
1161,Male,Sales,4,22.0,6.0,5,107672.0,9,99557.40137210106,0
1162,Male,Tech,109,24.0,4.0,3,64420.0,2,65654.96146049857,1
1163,Female,Ops,77,25.0,3.0,7,43662.0,6,,0
1164,Female,HR,99,25.0,3.0,9,59260.0,7,54399.910611094056,0
1165,Female,HR,107,24.0,,11,85739.0,7,95326.45098163224,0
1166,Male,HR,18,24.0,0.0,11,129379.0,8,140078.91796580443,0
1167,Female,Ops,116,25.0,8.0,9,35536.0,5,40352.55580727765,0
1168,Male,Ops,107,25.0,1.0,3,61626.0,9,61521.30439739293,0
1169,Male,HR,50,20.0,8.0,10,116863.0,9,132345.62200241786,0
1170,Female,HR,110,24.0,2.0,14,77847.0,3,77432.12205957514,0
1171,Female,Ops,75,20.0,8.0,7,53832.0,2,55452.406562239616,1
1172,Male,HR,13,24.0,5.0,5,59111.0,10,71261.07230509045,0
1173,Male,Ops,107,22.0,,2,123231.0,9,156207.18149275077,0
1174,Female,Finance,31,24.0,3.0,12,30042.0,7,31646.271090457354,0
1175,Female,Tech,103,23.0,0.0,2,140364.0,7,170196.06081145862,0
1176,Female,Tech,42,20.0,7.0,8,138772.0,6,130773.21740733042,0
1177,Male,Ops,70,22.0,5.0,9,30572.0,8,27732.010405611272,0
1178,Male,HR,102,25.0,0.0,14,79519.0,10,75292.21422338877,0
1179,Male,Tech,114,22.0,2.0,1,140435.0,5,175881.28883764736,0
1180,Male,Sales,11,22.0,0.0,6,38998.0,10,47014.833219708045,0
1181,Male,HR,21,25.0,9.0,0,96858.0,6,89648.54305050682,0
1182,Male,Ops,26,24.0,,1,74863.0,10,92181.4483437726,0
1183,Female,Sales,15,20.0,4.0,14,87258.0,3,89982.78428616922,0
1184,Male,Ops,24,22.0,4.0,11,,5,59925.95587792751,0
1185,Male,HR,60,22.0,4.0,7,128319.0,6,120881.42236268485,0
1186,Male,Finance,82,24.0,5.0,2,142291.0,4,134322.24048527627,0
1187,Female,Finance,72,25.0,7.0,10,73518.0,1,84502.76895547971,1
1188,Male,Finance,105,22.0,8.0,9,105721.0,9,134526.31416360525,0
1189,Male,HR,35,25.0,2.0,1,69619.0,3,85940.97493327508,0
1190,Female,HR,28,22.0,4.0,10,47357.0,1,52535.41618846934,1
1191,Male,Sales,29,25.0,0.0,14,83367.0,2,,1
1192,Male,HR,111,21.0,6.0,5,137019.0,10,150865.51047878515,0
1193,Male,HR,52,24.0,5.0,7,111369.0,8,136542.58323881513,0
1194,Male,Sales,110,21.0,,2,115649.0,4,112416.80068935889,0
1195,Male,Sales,62,25.0,2.0,14,75953.0,10,88564.02923081927,0
1196,Female,Ops,56,21.0,0.0,13,98005.0,9,107780.21123167197,0
1197,Female,Tech,2,24.0,9.0,12,,8,119656.42269422645,0
1198,Female,Tech,82,22.0,1.0,13,39794.0,1,,1
1199,Male,Ops,65,22.0,2.0,11,119898.0,6,146616.240492082,0
1200,Male,Finance,63,20.0,8.0,13,34488.0,7,38997.44762203121,0
1201,Male,HR,60,20.0,2.0,1,60924.0,8,57023.56134249624,0
1202,Female,Sales,66,25.0,4.0,12,140619.0,4,164709.44662262316,0
1203,Male,Sales,109,24.0,3.0,6,38061.0,5,48233.05248169429,0
1204,Male,Finance,109,23.0,9.0,14,145450.0,8,173108.95388927823,0
1205,Female,Sales,14,21.0,4.0,10,103204.0,4,96014.63065011502,0
1206,Male,Finance,28,25.0,7.0,3,59116.0,10,53256.92027656699,0
1207,Female,Ops,44,24.0,0.0,8,95857.0,1,114016.64484980288,1
1208,Female,Finance,60,22.0,0.0,5,108445.0,10,130723.27714871071,0
1209,Female,Tech,21,21.0,9.0,13,100001.0,4,98333.02525234922,0
1210,Male,Finance,84,20.0,9.0,14,32738.0,3,36638.38780761857,0
1211,Male,Ops,34,21.0,4.0,14,34732.0,8,37978.74631152802,0
1212,Male,Finance,98,20.0,5.0,14,146374.0,8,182124.00328790297,0
1213,Male,Ops,110,24.0,1.0,5,55896.0,10,70449.3964426186,0
1214,Male,Tech,54,20.0,1.0,4,77768.0,6,89009.76659851908,0
1215,Male,HR,39,24.0,0.0,14,93258.0,6,94161.73118913858,0
1216,Male,Ops,4,24.0,9.0,13,126225.0,7,116637.23912503607,0
1217,Female,HR,107,22.0,5.0,7,128431.0,9,159237.612440039,0
1218,Male,,28,23.0,0.0,6,36974.0,9,47663.46763316855,0
1219,Female,Finance,39,25.0,6.0,6,52057.0,4,60970.5034565749,0
1220,Male,HR,65,23.0,6.0,0,148039.0,10,145948.4830003623,0
1221,Male,Ops,45,25.0,8.0,4,31885.0,1,38995.71350856072,1
1222,Male,Ops,72,23.0,8.0,10,100433.0,3,111647.99703049428,0
1223,Female,HR,61,24.0,4.0,7,143668.0,8,136476.5391606877,0
1224,Female,Ops,60,25.0,,4,69805.0,8,75324.8931162391,0
1225,Female,HR,16,25.0,1.0,14,97620.0,2,89439.16419944807,1
1226,Female,Tech,51,24.0,,7,103076.0,4,93103.00038440766,0
1227,Male,Sales,112,25.0,2.0,4,44404.0,9,45866.90453962525,0
1228,Female,Tech,45,22.0,0.0,3,81789.0,5,90088.22979129563,0
1229,Male,HR,31,25.0,4.0,7,149239.0,5,144233.32316870647,0
1230,Male,Finance,7,22.0,2.0,5,86417.0,4,80469.36771279125,0
1231,Female,Finance,119,20.0,9.0,12,89976.0,4,95281.9995342725,0
1232,Female,Sales,51,20.0,,0,65135.0,6,83158.97907583216,0
1233,Female,HR,5,24.0,2.0,13,138509.0,6,167437.30950244184,0
1234,Female,Ops,66,23.0,4.0,5,115507.0,2,106562.66527307694,1
1235,Female,Tech,41,21.0,8.0,1,120685.0,3,155999.0213538662,0
1236,Female,Tech,112,22.0,5.0,7,56072.0,3,69980.5801857281,0
1237,Female,Sales,117,21.0,0.0,2,101240.0,7,91945.85715818629,0
1238,Female,Sales,68,25.0,9.0,0,107896.0,4,126601.2020786781,0
1239,Male,Sales,10,21.0,,12,89812.0,6,102451.63711385637,0
1240,Female,,99,24.0,3.0,8,120829.0,3,144110.02925840375,0
1241,Female,Sales,65,20.0,6.0,14,105111.0,6,114284.9668765755,0
1242,Male,Sales,103,23.0,3.0,11,140778.0,3,127405.98155336376,0
1243,Female,Ops,3,21.0,2.0,10,126465.0,1,133206.04663374266,1
1244,Male,Ops,43,22.0,,6,60712.0,7,78687.85302231775,0
1245,Male,,45,22.0,3.0,5,112099.0,4,127763.55334826461,0
1246,Female,Tech,26,22.0,7.0,11,,9,41982.94241725256,0
1247,Male,Sales,81,25.0,0.0,14,103609.0,4,118585.10181950488,0
1248,Male,Tech,42,21.0,2.0,14,,5,115560.55428053251,0
1249,Male,Sales,72,25.0,4.0,9,39006.0,2,40754.61076083723,1
1250,Male,Ops,30,20.0,0.0,8,,7,96845.10785477309,0
1251,Female,Finance,72,23.0,0.0,6,47418.0,2,45221.46838400156,1
1252,Male,Ops,93,21.0,7.0,12,84768.0,1,100192.23317891316,1
1253,Female,HR,115,20.0,8.0,11,114571.0,2,128085.0849357438,1
1254,Male,Ops,115,23.0,7.0,14,70455.0,2,83490.81713669209,1
1255,Male,HR,82,23.0,8.0,2,40177.0,5,,0
1256,Male,Tech,24,,1.0,4,38332.0,1,43726.42451424441,1
1257,Male,Ops,73,23.0,5.0,14,63148.0,3,63427.38558505054,0
1258,Female,Finance,84,25.0,2.0,13,116711.0,10,148803.30161682007,0
1259,Female,Ops,116,23.0,3.0,2,,8,130063.08367764023,0
1260,Male,Ops,44,23.0,3.0,10,147971.0,9,150016.276311723,0
1261,Male,Ops,13,25.0,5.0,5,62571.0,8,71997.78915620194,0
1262,Female,Sales,37,20.0,2.0,2,106620.0,1,114760.80483254707,1
1263,Male,Ops,19,23.0,1.0,6,87270.0,7,99133.31762586995,0
1264,Male,Ops,5,21.0,3.0,4,113439.0,6,132593.39035763286,0
1265,Male,Finance,36,20.0,5.0,12,,1,84110.18586035198,1
1266,Female,HR,88,23.0,4.0,6,35381.0,9,45073.426432382235,0
1267,Female,HR,117,20.0,7.0,12,128010.0,9,137337.7996002947,0
1268,Female,Finance,55,20.0,6.0,10,64882.0,2,66765.64523379169,1
1269,Male,Tech,52,22.0,6.0,14,37912.0,2,39172.371769576916,1
1270,Male,Ops,34,20.0,0.0,4,120437.0,3,,0
1271,Female,Tech,111,22.0,3.0,2,95304.0,7,123282.59513129886,0
1272,Female,Finance,8,24.0,2.0,4,119358.0,1,146573.17325572536,1
1273,Female,Tech,110,22.0,6.0,14,39964.0,6,45921.42227070541,0
1274,Female,HR,4,24.0,6.0,0,109580.0,9,140986.6843772118,0
1275,Male,Sales,108,24.0,3.0,11,128998.0,3,116767.3992067648,0
1276,Female,Tech,102,24.0,0.0,0,131552.0,10,163556.02113495485,0
1277,Male,Sales,72,22.0,9.0,1,137726.0,1,137364.6596761233,1
1278,Female,Tech,73,20.0,6.0,0,44831.0,7,55770.683257574354,0
1279,Male,Finance,41,23.0,0.0,13,107700.0,2,138107.67539693325,1
1280,Female,Sales,112,25.0,7.0,14,39633.0,4,40769.17901869522,0
1281,Female,Tech,41,24.0,0.0,6,142476.0,8,162639.17147046834,0
1282,Female,Finance,119,23.0,2.0,11,97985.0,5,93020.99147995934,0
1283,Female,HR,31,20.0,5.0,1,97522.0,10,126548.9732862508,0
1284,Male,Ops,95,24.0,2.0,3,75214.0,2,82915.51605775028,1
1285,Female,Finance,60,24.0,9.0,4,64422.0,2,66767.91385585036,1
1286,Male,Finance,51,,4.0,2,117650.0,3,106526.05958724543,0
1287,Male,HR,40,24.0,1.0,4,59078.0,2,76080.32512062773,1
1288,Male,Sales,71,22.0,7.0,14,131561.0,3,168572.71846849917,0
1289,Male,Tech,25,22.0,,11,144671.0,3,177845.289082584,0
1290,Female,Sales,77,21.0,5.0,11,141323.0,6,179643.02086650868,0
1291,Male,Finance,69,23.0,8.0,9,126549.0,8,117574.19045949781,0
1292,Male,,61,23.0,,1,94143.0,7,88234.30996065501,0
1293,Male,Ops,116,21.0,9.0,6,76932.0,5,87603.68648150576,0
1294,Female,Ops,18,22.0,3.0,13,100234.0,2,,1
1295,Female,Tech,71,21.0,8.0,8,131932.0,2,143536.34999596304,1
1296,Female,,38,24.0,0.0,14,105501.0,5,100307.20556546697,0
1297,Female,HR,64,22.0,4.0,10,88779.0,4,80168.89730601717,0
1298,Male,Sales,54,24.0,3.0,4,137972.0,2,147940.04100092824,1
1299,Male,Sales,106,21.0,3.0,14,144748.0,7,139734.62871572847,0
1300,Female,HR,79,23.0,8.0,10,,5,33263.78980992231,0
1301,Male,HR,49,20.0,1.0,8,88943.0,3,83991.5828361704,0
1302,Male,Ops,45,25.0,9.0,6,34735.0,1,39009.85942838679,1
1303,Male,HR,62,20.0,9.0,3,135861.0,5,160954.4360624288,0
1304,Female,Tech,97,25.0,1.0,12,72198.0,10,73083.3175927076,0
1305,Female,Ops,52,24.0,9.0,4,73393.0,2,91423.00207380604,1
1306,Male,Finance,31,25.0,9.0,10,72755.0,8,77665.58955086731,0
1307,Female,Ops,56,20.0,2.0,14,94307.0,6,117349.55482804294,0
1308,Female,Ops,117,24.0,6.0,6,50037.0,10,46855.66579976623,0
1309,Female,Sales,73,21.0,,5,124222.0,8,156537.667402198,0
1310,Female,HR,19,22.0,6.0,5,141903.0,4,131226.104502278,0
1311,Female,,70,23.0,0.0,11,117672.0,10,118162.19766189008,0
1312,Male,HR,54,24.0,3.0,14,73723.0,4,77973.64448192496,0
1313,Female,Sales,100,22.0,6.0,13,98645.0,2,89598.84956477355,1
1314,Male,HR,96,22.0,8.0,7,136644.0,10,168851.6380739352,0
1315,Male,Tech,28,,9.0,10,128090.0,10,134624.0046931827,0
1316,Female,,59,23.0,1.0,10,57556.0,8,,0
1317,Male,Sales,62,23.0,3.0,14,107116.0,9,135528.35665392625,0
1318,Male,Tech,50,22.0,9.0,12,148464.0,8,171890.62248737033,0
1319,Male,HR,38,20.0,2.0,11,84880.0,6,85409.6419282642,0
1320,Female,Sales,10,22.0,6.0,3,68826.0,1,68850.73640943278,1
1321,Female,Sales,35,21.0,6.0,7,132079.0,9,152168.8724144202,0
1322,Male,Ops,46,25.0,2.0,4,62439.0,2,69230.00311382225,1
1323,Female,Tech,24,25.0,,11,99589.0,9,115742.38629857037,0
1324,Female,Tech,98,24.0,4.0,2,121945.0,9,134830.6798051167,0
1325,Female,HR,115,22.0,1.0,6,40679.0,9,42838.633464693135,0
1326,Female,Ops,73,,5.0,2,85098.0,5,99682.04731547495,0
1327,Male,Tech,91,21.0,2.0,0,,4,128492.53982309284,0
1328,Male,Sales,98,22.0,3.0,11,126114.0,6,,0
1329,Female,Tech,79,24.0,3.0,6,105775.0,6,137317.7542555622,0
1330,Female,Ops,91,24.0,4.0,3,93697.0,10,100114.99785275158,0
1331,Male,Finance,91,24.0,0.0,2,42329.0,4,50233.4587954271,0
1332,Male,Sales,32,23.0,1.0,10,38419.0,2,43542.805708166656,1
1333,Female,Tech,109,25.0,6.0,11,44131.0,5,56229.486463884845,0
1334,Male,Sales,27,24.0,6.0,3,,3,36999.56768763241,0
1335,Female,HR,26,21.0,7.0,11,66767.0,7,82088.70477003536,0
1336,Female,Sales,44,20.0,6.0,12,89874.0,7,98639.5812677774,0
1337,Male,Tech,17,21.0,7.0,13,83707.0,8,90778.97728185155,0
1338,Male,HR,16,23.0,,3,71499.0,2,79782.7575608893,1
1339,Female,HR,99,23.0,1.0,5,101277.0,4,114810.95693909009,0
1340,Female,HR,26,21.0,5.0,5,63532.0,2,76984.7159738999,1
1341,Male,Finance,102,21.0,5.0,2,48554.0,6,60259.56395332695,0
1342,Female,Finance,56,21.0,4.0,14,146617.0,8,180029.8175380325,0
1343,Male,HR,94,23.0,3.0,5,149515.0,2,148946.61901474578,1
1344,Female,Tech,106,24.0,6.0,0,68527.0,4,,0
1345,Male,HR,37,25.0,1.0,2,90188.0,4,98565.09183288315,0
1346,Male,HR,78,23.0,,9,86627.0,3,107389.57820432352,0
1347,Male,Sales,82,24.0,1.0,6,125780.0,7,138906.8533697555,0
1348,Female,Sales,92,21.0,2.0,3,,10,37460.88603463586,0
1349,Female,Sales,104,25.0,7.0,12,45521.0,3,49568.30525693148,0
1350,Male,Ops,16,25.0,2.0,5,126185.0,10,122832.73255463758,0
1351,Female,Sales,2,25.0,2.0,13,96975.0,2,98776.03768565854,1
1352,Male,Sales,84,25.0,5.0,6,43780.0,10,55758.188609464945,0
1353,Male,Tech,30,24.0,2.0,7,134598.0,9,160869.86876176333,0
1354,Female,Finance,73,22.0,0.0,14,103065.0,9,133259.59522543295,0
1355,Female,Finance,55,20.0,3.0,13,74971.0,7,77518.64419466128,0
1356,Male,Finance,63,24.0,9.0,9,88769.0,9,95159.74017346237,0
1357,Female,Ops,115,20.0,2.0,9,68269.0,10,83816.91170336274,0
1358,Female,HR,64,21.0,7.0,5,49644.0,1,49858.74894510509,1
1359,Male,Sales,65,20.0,6.0,5,59917.0,7,69043.08882508738,0
1360,Male,Tech,27,22.0,6.0,4,30439.0,8,35859.10040068106,0
1361,Female,Ops,118,25.0,5.0,4,79246.0,6,98371.89681049404,0
1362,Male,Finance,9,23.0,7.0,2,84409.0,6,79152.34843724802,0
1363,Male,Ops,84,20.0,6.0,3,86256.0,3,106170.48445861388,0
1364,Female,,91,23.0,4.0,9,32823.0,2,38057.719873002396,1
1365,Male,Ops,39,23.0,1.0,14,30340.0,2,39424.47927667627,1
1366,Male,Finance,35,24.0,,11,85825.0,6,,0
1367,Female,HR,33,20.0,,2,54816.0,9,66493.231659931,0
